ligand,receptor,lr_pair,classification,broad_category,source
CDH1,ITGA2_ITGB1,CDH1|ITGA2_ITGB1,Adhesion by Cadherin,ECM/Adhesion,cpdb_uniprot
COL27A1,ITGA1_ITGB1,COL27A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL27A1,ITGA10_ITGB1,COL27A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL27A1,ITGA11_ITGB1,COL27A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL27A1,ITGA2_ITGB1,COL27A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL28A1,ITGA1_ITGB1,COL28A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL28A1,ITGA10_ITGB1,COL28A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL28A1,ITGA11_ITGB1,COL28A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL28A1,ITGA2_ITGB1,COL28A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL2A1,ITGA1_ITGB1,COL2A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL2A1,ITGA10_ITGB1,COL2A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL2A1,ITGA11_ITGB1,COL2A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL2A1,ITGA2_ITGB1,COL2A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL3A1,ADGRG1,COL3A1|ADGRG1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL3A1,ITGA1_ITGB1,COL3A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL3A1,ITGA10_ITGB1,COL3A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL3A1,ITGA11_ITGB1,COL3A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL3A1,ITGA2_ITGB1,COL3A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A1,ADGRG6,COL4A1|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A1,ITGA1_ITGB1,COL4A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A1,ITGA10_ITGB1,COL4A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A1,ITGA11_ITGB1,COL4A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A1,ITGA2_ITGB1,COL4A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A2,ADGRG6,COL4A2|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A2,ITGA1_ITGB1,COL4A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A2,ITGA10_ITGB1,COL4A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A2,ITGA11_ITGB1,COL4A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A2,ITGA2_ITGB1,COL4A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A3,ADGRG6,COL4A3|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A3,ITGA1_ITGB1,COL4A3|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A3,ITGA10_ITGB1,COL4A3|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A3,ITGA11_ITGB1,COL4A3|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A3,ITGA2_ITGB1,COL4A3|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A4,ADGRG6,COL4A4|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A4,ITGA1_ITGB1,COL4A4|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A4,ITGA10_ITGB1,COL4A4|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A4,ITGA11_ITGB1,COL4A4|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A4,ITGA2_ITGB1,COL4A4|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A5,ADGRG6,COL4A5|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A5,ITGA1_ITGB1,COL4A5|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A5,ITGA10_ITGB1,COL4A5|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A5,ITGA11_ITGB1,COL4A5|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A5,ITGA2_ITGB1,COL4A5|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A6,ADGRG6,COL4A6|ADGRG6,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A6,ITGA1_ITGB1,COL4A6|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A6,ITGA10_ITGB1,COL4A6|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A6,ITGA11_ITGB1,COL4A6|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL4A6,ITGA2_ITGB1,COL4A6|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A1,ITGA1_ITGB1,COL5A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A1,ITGA10_ITGB1,COL5A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A1,ITGA11_ITGB1,COL5A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A1,ITGA2_ITGB1,COL5A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A2,ITGA1_ITGB1,COL5A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A2,ITGA10_ITGB1,COL5A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A2,ITGA11_ITGB1,COL5A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A2,ITGA2_ITGB1,COL5A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A3,ITGA1_ITGB1,COL5A3|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A3,ITGA10_ITGB1,COL5A3|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A3,ITGA11_ITGB1,COL5A3|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL5A3,ITGA2_ITGB1,COL5A3|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A1,ITGA1_ITGB1,COL6A1|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A1,ITGA10_ITGB1,COL6A1|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A1,ITGA11_ITGB1,COL6A1|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A1,ITGA2_ITGB1,COL6A1|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A2,ITGA1_ITGB1,COL6A2|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A2,ITGA10_ITGB1,COL6A2|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A2,ITGA11_ITGB1,COL6A2|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A2,ITGA2_ITGB1,COL6A2|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A3,ITGA1_ITGB1,COL6A3|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A3,ITGA10_ITGB1,COL6A3|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A3,ITGA11_ITGB1,COL6A3|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A3,ITGA2_ITGB1,COL6A3|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A5,ITGA1_ITGB1,COL6A5|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A5,ITGA10_ITGB1,COL6A5|ITGA10_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A5,ITGA11_ITGB1,COL6A5|ITGA11_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A5,ITGA2_ITGB1,COL6A5|ITGA2_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
COL6A6,ITGA1_ITGB1,COL6A6|ITGA1_ITGB1,Adhesion by Collagen/Integrin,ECM/Adhesion,cpdb_uniprot
